CustomerID,Lookalikes
C0001,"[('C0007', np.float64(0.8906836895643802)), ('C0018', np.float64(0.8494629268742764)), ('C0005', np.float64(0.8418916120093201))]"
C0002,"[('C0003', np.float64(0.8440533507507216)), ('C0008', np.float64(0.7267019078399163)), ('C0010', np.float64(0.6600224946782811))]"
C0003,"[('C0008', np.float64(0.8767975529101777)), ('C0002', np.float64(0.8440533507507216)), ('C0007', np.float64(0.8261949487015197))]"
C0004,"[('C0012', np.float64(0.9544775814077777)), ('C0017', np.float64(0.9364360497122839)), ('C0018', np.float64(0.904014013947964))]"
C0005,"[('C0007', np.float64(0.9365560387934042)), ('C0001', np.float64(0.8418916120093201)), ('C0003', np.float64(0.7661394701994392))]"
C0006,"[('C0017', np.float64(0.8872735481337561)), ('C0011', np.float64(0.8230978883129104)), ('C0004', np.float64(0.8070731188637144))]"
C0007,"[('C0005', np.float64(0.9365560387934042)), ('C0001', np.float64(0.8906836895643802)), ('C0003', np.float64(0.8261949487015197))]"
C0008,"[('C0003', np.float64(0.8767975529101777)), ('C0012', np.float64(0.8727644978503437)), ('C0017', np.float64(0.8636855141470188))]"
C0009,"[('C0010', np.float64(0.7505590240183062)), ('C0016', np.float64(0.6955158754465767)), ('C0013', np.float64(0.6911871785374194))]"
C0010,"[('C0009', np.float64(0.7505590240183062)), ('C0002', np.float64(0.6600224946782811)), ('C0016', np.float64(0.6494968698913807))]"
C0011,"[('C0019', np.float64(0.8365190823721541)), ('C0006', np.float64(0.8230978883129104)), ('C0016', np.float64(0.7812859524719395))]"
C0012,"[('C0004', np.float64(0.9544775814077777)), ('C0008', np.float64(0.8727644978503437)), ('C0017', np.float64(0.8614596759302928))]"
C0013,"[('C0016', np.float64(0.8895973138014047)), ('C0009', np.float64(0.6911871785374194)), ('C0017', np.float64(0.6485262475344216))]"
C0014,"[('C0012', np.float64(0.6692611506344466)), ('C0003', np.float64(0.6611759770986597)), ('C0015', np.float64(0.6541390985110387))]"
C0015,"[('C0012', np.float64(0.7307892515000503)), ('C0004', np.float64(0.7181258387450659)), ('C0006', np.float64(0.6931480584425398))]"
C0016,"[('C0013', np.float64(0.8895973138014047)), ('C0011', np.float64(0.7812859524719395)), ('C0001', np.float64(0.731246371791261))]"
C0017,"[('C0018', np.float64(0.9589573407935122)), ('C0004', np.float64(0.9364360497122839)), ('C0006', np.float64(0.8872735481337561))]"
C0018,"[('C0017', np.float64(0.9589573407935122)), ('C0004', np.float64(0.904014013947964)), ('C0001', np.float64(0.8494629268742764))]"
C0019,"[('C0011', np.float64(0.8365190823721541)), ('C0018', np.float64(0.7311019776358918)), ('C0017', np.float64(0.6718799059628234))]"
C0020,"[('C0005', np.float64(0.707580228168993)), ('C0001', np.float64(0.6887103598285546)), ('C0007', np.float64(0.6788120669605928))]"
